shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21107,38.752543,-9.189425,18,
21124,38.713209,-9.159841,1,
21124,38.712735,-9.157825,2,
21124,38.712568,-9.156345,3,
21124,38.712221,-9.15514,4,
21124,38.71036,-9.152648,5,
21124,38.709803,-9.151728,6,
21124,38.710972,-9.149486,7,
21124,38.710816,-9.146005,8,
21124,38.710486,-9.143816,9,
21124,38.710081,-9.142464,10,
21124,38.70794,-9.142578,11,
21124,38.707962,-9.141422,12,
21124,38.708037,-9.139901,13,
21124,38.709421,-9.137717,14,
21124,38.710048,-9.135271,15,
21124,38.709761,-9.133769,16,
21124,38.710327,-9.13163,17,
21124,38.711581,-9.130576,18,
21124,38.71253,-9.130601,19,
21124,38.712887,-9.129493,20,
21124,38.713507,-9.128725,21,
21124,38.715074,-9.12873,22,
21124,38.717253,-9.129778,23,
21139,38.733227,-9.132798,1,
21139,38.732653,-9.130557,2,
21139,38.730546,-9.127489,3,
21139,38.728365,-9.124673,4,
21139,38.725037,-9.122398,5,
21139,38.722732,-9.121495,6,
21139,38.721291,-9.119838,7,
21139,38.720385,-9.118108,8,
21139,38.71678,-9.119137,9,
21139,38.713735,-9.122519,10,
21141,38.713735,-9.122519,1,
21141,38.713531,-9.123471,2,
21141,38.716375,-9.120627,3,
21141,38.718064,-9.118806,4,
21141,38.720461,-9.117811,5,
21141,38.721811,-9.119966,6,
21141,38.723521,-9.121707,7,
21141,38.725767,-9.122426,8,
21141,38.728363,-9.124347,9,
21141,38.730551,-9.127102,10,
21141,38.732109,-9.128295,11,
21141,38.732735,-9.130411,12,
21141,38.733256,-9.132478,13,
21146,38.737184,-9.133993,1,
21146,38.733142,-9.132494,2,
21146,38.732653,-9.130557,3,
21146,38.731365,-9.127094,4,
21146,38.730263,-9.124933,5,
21146,38.728861,-9.122193,6,
21146,38.727485,-9.119609,7,
21146,38.725664,-9.118899,8,
21146,38.724406,-9.117395,9,
21146,38.722855,-9.115098,10,
21146,38.724688,-9.113388,11,
21146,38.726271,-9.111868,12,
21146,38.727433,-9.110292,13,
21146,38.730248,-9.107894,14,
21146,38.733098,-9.10554,15,
21146,38.734908,-9.104704,16,
21146,38.737261,-9.103605,17,
21146,38.73968,-9.102869,18,
21146,38.742348,-9.102104,19,
21146,38.744609,-9.102136,20,
21146,38.747181,-9.104732,21,
21146,38.749498,-9.10488,22,
21146,38.75303,-9.105516,23,
21146,38.754392,-9.10876,24,
21146,38.752813,-9.110326,25,
21146,38.751742,-9.109488,26,
21146,38.752056,-9.112018,27,
21146,38.755094,-9.113547,28,
21146,38.75651,-9.113351,29,
21158,38.769542,-9.189714,1,
21158,38.770971,-9.188971,2,
21158,38.772226,-9.190738,3,
21158,38.770992,-9.19358,4,
21158,38.768801,-9.19581,5,
21158,38.76512,-9.198847,6,
21158,38.761945,-9.196379,7,
21158,38.760328,-9.19414,8,
21158,38.759443,-9.190177,9,
21158,38.759429,-9.186839,10,
21158,38.76002,-9.182754,11,
21158,38.75826,-9.179998,12,
21158,38.756639,-9.177825,13,
21158,38.754522,-9.175604,14,
21158,38.749664,-9.172603,15,
21158,38.747745,-9.17126,16,
21158,38.745266,-9.169313,17,
21158,38.742544,-9.168598,18,
21158,38.739162,-9.167512,19,
21158,38.73864,-9.164591,20,
21158,38.738157,-9.161844,21,
21158,38.738047,-9.158525,22,
21158,38.736531,-9.155936,23,
21158,38.733517,-9.153389,24,
21158,38.731597,-9.151782,25,
21158,38.728985,-9.14957,26,
21158,38.727375,-9.149035,27,
21212,38.717253,-9.129778,1,
21212,38.715036,-9.128831,2,
21212,38.713507,-9.128725,3,
21212,38.713085,-9.129708,4,
21212,38.712182,-9.130408,5,
21212,38.711314,-9.130714,6,
21212,38.710166,-9.13234,7,
21212,38.710052,-9.134268,8,
21212,38.709669,-9.137048,9,
21212,38.708072,-9.140464,10,
21212,38.708265,-9.141982,11,
21212,38.710323,-9.142011,12,
21212,38.710788,-9.143595,13,
21212,38.710801,-9.145324,14,
21212,38.711046,-9.147603,15,
21212,38.711029,-9.14984,16,
21212,38.710769,-9.151869,17,
21212,38.711477,-9.153191,18,
21212,38.712478,-9.155726,19,
21212,38.712761,-9.157436,20,
21212,38.713209,-9.159841,21,
21214,38.714282,-9.169519,1,
21214,38.714841,-9.166506,2,
21214,38.715321,-9.164602,3,
21214,38.714962,-9.16304,4,
21214,38.714089,-9.161715,5,
21214,38.713627,-9.160065,6,
21214,38.712735,-9.157825,7,
21214,38.712568,-9.156345,8,
21214,38.712221,-9.15514,9,
21214,38.71036,-9.152648,10,
21214,38.709803,-9.151728,11,
21214,38.710972,-9.149486,12,
21214,38.710816,-9.146005,13,
21214,38.710486,-9.143816,14,
21214,38.710081,-9.142464,15,
21214,38.70794,-9.142578,16,
21214,38.707962,-9.141422,17,
21214,38.708037,-9.139901,18,
21214,38.709421,-9.137717,19,
21214,38.710048,-9.135271,20,
21214,38.709761,-9.133769,21,
21214,38.710327,-9.13163,22,
21214,38.711581,-9.130576,23,
21214,38.71253,-9.130601,24,
21214,38.712887,-9.129493,25,
21214,38.713507,-9.128725,26,
21214,38.715074,-9.12873,27,
21214,38.717253,-9.129778,28,
21218,38.714399,-9.170026,1,
21218,38.717115,-9.169498,2,
21218,38.718568,-9.169549,3,
21218,38.721114,-9.167452,4,
21218,38.724023,-9.165377,5,
21218,38.725309,-9.163318,6,
21218,38.727719,-9.162021,7,
21218,38.730337,-9.162242,8,
21218,38.732261,-9.162434,9,
21218,38.735087,-9.165179,10,
21218,38.737727,-9.167631,11,
21218,38.740566,-9.167409,12,
21218,38.742127,-9.168798,13,
21218,38.745561,-9.169345,14,
21218,38.747564,-9.170923,15,
21218,38.750867,-9.173135,16,
21218,38.753612,-9.174539,17,
21218,38.755949,-9.175455,18,
21218,38.755759,-9.170455,19,
21218,38.755724,-9.168293,20,
